Date|Open|High|Low|Close|Volume|Change
2017-01-02|35980|36240|35880|36100|93012|0.0016648168701443034
2017-01-03|36280|36620|36020|36480|147153|0.010526315789473717
2017-01-04|36500|36520|36100|36160|159435|-0.00877192982456143
2017-01-05|36060|36060|35540|35560|219349|-0.0165929203539823
2017-01-06|36180|36440|36040|36200|177619|0.017997750281214753
2017-01-09|36600|37500|36560|37220|263898|0.028176795580110436
2017-01-10|37280|37400|37080|37240|181996|0.0005373455131649774
2017-01-11|37520|38560|37420|38280|240363|0.027926960257787403
2017-01-12|38000|38800|37980|38800|233383|0.013584117032392928
2017-01-13|38100|38319|37460|37460|319089|-0.03453608247422679
2017-01-16|36860|37820|36320|36660|332230|-0.02135611318739994
2017-01-17|36580|37460|36580|36960|163014|0.008183306055646433
2017-01-18|37040|37500|36620|36940|177508|-0.0005411255411255089
2017-01-19|37720|37920|37020|37480|188378|0.01461829994585817
2017-01-20|37120|37420|36880|37200|183700|-0.007470651013874119
2017-01-23|37200|38060|37000|38060|176208|0.02311827956989254
2017-01-24|38120|38580|37880|38160|220975|0.0026274303730950965
2017-01-25|38340|39400|38320|39400|268677|0.032494758909853205
2017-01-26|39420|40000|39420|39900|304290|0.012690355329949332
2017-01-31|39900|39900|39460|39460|359844|-0.01102756892230572
2017-02-01|39540|39660|39039|39120|283008|-0.00861632032437909
2017-02-02|39600|39660|39200|39360|300586|0.006134969325153339
2017-02-03|39400|39500|39180|39460|207727|0.0025406504065039748
2017-02-06|39580|39660|39140|39560|177214|0.0025342118601114905
2017-02-07|39560|39580|38760|38820|280836|-0.018705763397371067
2017-02-08|38740|38779|38200|38400|341859|-0.010819165378670781
2017-02-09|38779|38840|38219|38400|273883|0.0
2017-02-10|38400|38760|38300|38360|220415|-0.0010416666666667185
2017-02-13|37740|38060|37720|37960|222041|-0.010427528675703845
2017-02-14|37960|38260|37320|37580|262483|-0.01001053740779767
2017-02-15|37080|37960|37080|37720|283831|0.0037253858435337683
2017-02-16|37800|38360|37780|38020|204527|0.007953340402969244
2017-02-17|37560|38040|37280|37860|307549|-0.004208311415044741
2017-02-20|38220|38780|38160|38660|149716|0.021130480718436262
2017-02-21|38540|39560|38420|38940|211252|0.007242628039317189
2017-02-22|39000|39340|38980|39300|170789|0.009244992295839749
2017-02-23|39020|39440|39020|39180|204346|-0.003053435114503844
2017-02-24|38960|39100|38060|38220|185937|-0.024502297090352232
2017-02-27|38020|38140|37700|38060|180674|-0.004186289900575568
2017-02-28|38059|38760|37960|38440|301774|0.0099842354177615
2017-03-02|38420|39860|38420|39720|424996|0.03329864724245568
2017-03-03|39340|39720|39160|39620|254174|-0.0025176233635447742
2017-03-06|39220|40220|39220|40080|244697|0.011610297829379057
2017-03-07|39800|40320|39800|40200|211065|0.0029940119760478723
2017-03-08|40200|40620|40140|40200|242819|0.0
2017-03-09|40200|40300|40020|40200|287445|0.0
2017-03-10|39960|40420|39860|40180|204556|-0.0004975124378109319
